Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"FLG","Filaggrin","Protein Coding","P20930","54","GC01M169655","149.290405273438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLG"
"CCDST","Cervical Cancer Associated DHX9 Suppressive Transcript","RNA Gene","","25","GC01P184823","112.254241943359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDST"
"CARD11","Caspase Recruitment Domain Family Member 11","Protein Coding","Q9BXL7","58","GC07M002906","68.4674987792969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD11"
"ATOD1","Dermatitis, Atopic","Genetic Locus","","6","GC03U902187","67.0554809570313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD1"
"SPINK5","Serine Peptidase Inhibitor Kazal Type 5","Protein Coding","Q9NQ38","52","GC05P148025","55.6449356079102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK5"
"IL13","Interleukin 13","Protein Coding","P35225","56","GC05P132656","53.7555389404297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"IL4","Interleukin 4","Protein Coding","P05112","59","GC05P132673","52.5129241943359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"ATOD3","Dermatitis, Atopic, 3","Genetic Locus","","4","GC20U990080","49.6146697998047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD3"
"ATOD6","Dermatitis, Atopic, 6","Genetic Locus","","4","GC05U990174","47.4066009521484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD6"
"IL4R","Interleukin 4 Receptor","Protein Coding","P24394","60","GC16P136554","46.9629669189453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4R"
"ATOD5","Dermatitis, Atopic, 5","Genetic Locus","","4","GC13U900216","45.7098388671875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD5"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","44.1468200683594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CCL17","C-C Motif Chemokine Ligand 17","Protein Coding","Q92583","52","GC16P137400","43.4676361083984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL17"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","Q14654","58","GC11M018286","43.4037017822266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"IGHE","Immunoglobulin Heavy Constant Epsilon","Protein Coding","P01854","43","GC14M126666","42.3945083618164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHE"
"STAT6","Signal Transducer And Activator Of Transcription 6","Protein Coding","P42226","64","GC12M057095","42.0691375732422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT6"
"ATOD7","Dermatitis, Atopic, Susceptibility To, 7","Genetic Locus","","2","GC11U901436","41.872200012207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD7"
"ATOD8","Dermatitis, Atopic, 8","Genetic Locus","","2","GC04U902095","41.872200012207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD8"
"IL5","Interleukin 5","Protein Coding","P05113","58","GC05M132541","41.8576164245605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5"
"IL31","Interleukin 31","Protein Coding","Q6EBC2","51","GC12M125335","41.576099395752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL31"
"IL10","Interleukin 10","Protein Coding","P22301","59","GC01M206767","40.2903823852539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"ATOD9","Dermatitis, Atopic, 9","Genetic Locus","","2","GC03U902459","40.1754379272461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD9"
"JAK1","Janus Kinase 1","Protein Coding","P23458","66","GC01M064833","40.1748542785645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK1"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","63","GC06P199528","40.0717506408691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"SOCS3","Suppressor Of Cytokine Signaling 3","Protein Coding","O14543","57","GC17M078356","39.6531143188477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS3"
"CCL11","C-C Motif Chemokine Ligand 11","Protein Coding","P51671","58","GC17P034285","39.0396003723145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL11"
"FLG2","Filaggrin 2","Protein Coding","Q5D862","47","GC01M169656","36.808219909668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLG2"
"TSLP","Thymic Stromal Lymphopoietin","Protein Coding","Q969D9","52","GC05P111070","36.1864242553711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSLP"
"RNASE3","Ribonuclease A Family Member 3","Protein Coding","P12724","53","GC14P020891","34.9625930786133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASE3"
"DSG1","Desmoglein 1","Protein Coding","Q02413","54","GC18P031318","34.5542259216309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSG1"
"CARD11-AS1","CARD11 Antisense RNA 1","RNA Gene","","19","GC07P031675","34.2581024169922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD11-AS1"
